City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
66,zapolyarnyy,69.4154,30.8136,2.6000000000000227,86,100,4.49,RU,1680705067
67,hamilton,39.1834,-84.5333,24.439999999999998,70,0,7.72,US,1680704970
68,norman wells,65.282,-126.8329,-9.979999999999961,67,75,3.09,CA,1680704902
69,namatanai,-3.6667,152.4333,26.54000000000002,79,100,0.85,PG,1680705069
70,puerto ayora,-0.7393,-90.3518,28.980000000000018,87,45,2.24,EC,1680705070
71,khuzhir,53.1939,107.3397,-8.71999999999997,72,8,2.61,RU,1680705072
72,puerto colombia,10.9878,-74.9547,28.05000000000001,74,86,6.93,CO,1680705073
73,kununurra,-15.7667,128.7333,25.99000000000001,94,59,0.0,AU,1680705074
74,antigonish,45.6169,-61.9986,1.1899999999999977,56,42,3.58,CA,1680705076
75,east london,-33.0153,27.9116,23.52000000000004,64,0,7.72,ZA,1680705077
76,kota belud,6.351,116.4305,24.930000000000007,85,29,1.64,MY,1680705078
77,mar del plata,-38.0023,-57.5575,21.57000000000005,79,75,5.66,AR,1680705079
78,barrow,71.2906,-156.7887,-21.98999999999998,77,100,5.14,US,1680704904
79,atlantic city,39.3643,-74.4229,15.010000000000048,98,100,2.57,US,1680705080
80,castro,-24.7911,-50.0119,24.180000000000007,57,67,1.99,BR,1680705082
81,pangnirtung,66.1451,-65.7125,-21.99999999999997,77,20,1.03,CA,1680705082
82,boende,-0.2167,20.8667,32.09000000000003,48,100,2.02,CD,1680705083
83,nouadhibou,20.931,-17.0347,26.99000000000001,32,61,9.26,MR,1680705084
84,bredasdorp,-34.5322,20.0403,23.170000000000016,58,3,4.87,ZA,1680705085
85,baghdad,33.3406,44.4009,30.950000000000045,23,0,6.17,IQ,1680704852
86,herat,34.5,62.0,15.760000000000048,29,0,1.0,AF,1680705086
87,cape town,-33.9258,18.4232,28.230000000000018,47,0,4.12,ZA,1680705302
88,maieru,47.4,24.75,5.490000000000009,86,100,1.31,RO,1680705087
89,north decatur,33.7904,-84.306,24.230000000000018,77,0,2.06,US,1680705088
90,georgetown,5.4112,100.3354,25.960000000000036,89,40,1.03,MY,1680705090
91,alofi,-19.0595,-169.9187,21.939999999999998,100,39,0.51,NU,1680705091
92,pacific grove,36.6177,-121.9166,6.480000000000018,86,0,0.89,US,1680705091
93,tahoua,14.8888,5.2692,39.99000000000001,9,0,1.03,NE,1680705092
94,monte patria,-30.6919,-70.9467,25.58000000000004,39,18,2.45,CL,1680705093
95,ust-nera,64.5667,143.2,-11.799999999999955,97,100,1.63,RU,1680705094
96,gat,31.61,34.7642,20.78000000000003,3,0,5.7,IL,1680704940
97,yuma,32.7253,-114.6244,11.600000000000023,32,20,2.06,US,1680705096
98,bairiki,1.3292,172.9752,27.0,89,75,2.57,KI,1680705096
99,inzer,54.2167,57.5556,6.720000000000027,91,79,1.42,RU,1680705097
100,villa bruzual,9.3328,-69.1208,32.110000000000014,40,100,2.77,VE,1680705097
101,kapaa,22.0752,-159.319,23.180000000000007,91,0,4.63,US,1680705098
102,tupi paulista,-21.3811,-51.5706,28.379999999999995,59,7,3.71,BR,1680705099
103,klaksvik,62.2266,-6.589,8.510000000000048,98,100,4.76,FO,1680705099
104,dikson,73.5069,80.5464,-30.23999999999998,98,77,4.77,RU,1680705100
105,zambrow,52.9855,22.2432,4.7900000000000205,42,95,2.2,PL,1680705101
106,port elizabeth,-33.918,25.5701,23.510000000000048,74,0,8.75,ZA,1680704879
107,dimapur,25.9,93.7333,21.79000000000002,81,59,2.08,IN,1680705102
108,butka,56.7179,63.7866,9.379999999999995,67,89,2.94,RU,1680705103
109,pevek,69.7008,170.3133,-26.649999999999977,85,34,1.35,RU,1680705103
110,saint george,37.1041,-113.5841,0.7000000000000455,65,0,1.54,US,1680705030
111,mujiayingzi,42.1167,118.7833,3.890000000000043,24,25,2.46,CN,1680705104
112,riyadh,24.6877,46.7219,31.08000000000004,9,7,2.41,SA,1680704930
113,ruteng,-8.6136,120.4721,17.28000000000003,95,99,0.29,ID,1680705105
114,touros,-5.1989,-35.4608,26.439999999999998,83,100,3.79,BR,1680705106
115,tuktoyaktuk,69.4541,-133.0374,-15.0,85,100,6.17,CA,1680705107
116,vestmannaeyjar,63.4427,-20.2734,7.550000000000011,81,75,3.09,IS,1680705107
117,san quintin,30.4833,-115.95,12.300000000000011,52,39,2.23,MX,1680705108
118,andenes,69.3143,16.1194,5.990000000000009,61,0,5.14,NO,1680705109
119,lorengau,-2.0226,147.2712,27.32000000000005,77,100,2.36,PG,1680705109
120,arraial do cabo,-22.9661,-42.0278,29.920000000000016,54,0,4.12,BR,1680704883
121,isangel,-19.55,169.2667,25.379999999999995,79,97,1.79,VU,1680705110
122,capitao poco,-1.7464,-47.0594,27.49000000000001,82,78,1.69,BR,1680705504
123,koplik,42.2136,19.4364,9.78000000000003,54,73,1.1,AL,1680705111
124,kysyl-syr,63.8986,122.7617,-21.46999999999997,91,100,4.23,RU,1680705112
125,egvekinot,66.3167,-179.1667,-27.21999999999997,92,50,2.21,RU,1680705113
126,tiksi,71.6872,128.8694,-22.099999999999966,99,100,3.15,RU,1680705114
127,scarborough,54.2797,-0.4044,9.760000000000048,89,100,1.34,GB,1680705059
128,talca,-35.4333,-71.6667,21.189999999999998,23,100,0.47,CL,1680705013
129,shu,43.5983,73.7614,12.390000000000043,37,10,3.49,KZ,1680705116
130,aksu,41.1231,80.2644,8.03000000000003,15,91,3.3,CN,1680705117
131,avera,33.194,-82.5271,25.310000000000002,66,67,3.5,US,1680705117
132,vaini,-21.2,-175.2,20.090000000000032,100,40,1.03,TO,1680705118
133,khadyzhensk,44.4256,39.5319,15.100000000000023,75,100,1.28,RU,1680705118
134,kilinochchi,9.3961,80.3982,26.49000000000001,81,2,3.29,LK,1680705119
135,batsfjord,70.6345,29.7185,0.9600000000000364,86,75,5.66,NO,1680705119
136,tasiilaq,65.6145,-37.6368,-4.909999999999968,91,100,6.11,GL,1680705120
137,la seyne-sur-mer,43.0982,5.8847,16.410000000000025,65,49,3.13,FR,1680705121
138,kutum,14.2,24.6667,32.35000000000002,8,99,5.59,SD,1680705121
139,shorewood,41.52,-88.2017,19.79000000000002,74,100,9.26,US,1680705122
140,esperanza,19.5847,-70.9849,27.939999999999998,65,1,4.47,DO,1680705123
141,meaford,44.6001,-80.583,7.270000000000039,92,100,2.62,CA,1680705005
142,kapoeta,4.7717,33.5903,32.43000000000001,34,86,7.08,SS,1680705124
143,dingle,10.9995,122.6711,23.07000000000005,76,74,2.78,PH,1680705124
144,hithadhoo,-0.6,73.0833,28.430000000000007,68,3,2.88,MV,1680705125
145,urusha,54.05,122.9,-11.839999999999975,93,6,2.13,RU,1680705126
146,sitka,57.0531,-135.33,5.939999999999998,65,100,7.2,US,1680705127
147,mariinsk,56.2139,87.7472,-3.589999999999975,85,96,1.52,RU,1680705128
148,tucurui,-3.7661,-49.6725,25.99000000000001,89,87,2.06,BR,1680705129
149,karatsu,33.4425,129.9697,16.060000000000002,79,100,3.13,JP,1680705026
150,puqi,29.7167,113.8833,13.490000000000009,82,100,2.51,CN,1680705131
151,cody,44.5263,-109.0565,-5.599999999999966,81,100,2.06,US,1680705132
152,hobyo,5.3505,48.5268,29.08000000000004,70,56,5.8,SO,1680705132
153,katsuura,35.1333,140.3,16.350000000000023,66,99,8.91,JP,1680705032
154,kodiak,57.79,-152.4072,1.7300000000000182,93,100,3.09,US,1680705134
155,tadine,-21.55,167.8833,25.450000000000045,84,26,4.53,NC,1680705134
156,porto nacional,-10.7081,-48.4172,28.0,71,16,1.44,BR,1680705135
157,fairbanks,64.8378,-147.7164,-2.4399999999999977,89,75,2.57,US,1680704923
158,sur,22.5667,59.5289,25.350000000000023,57,4,1.79,OM,1680705136
159,buala,-8.145,159.5921,26.710000000000036,83,100,1.31,SB,1680705137
160,margate,51.3813,1.3862,13.260000000000048,58,100,4.02,GB,1680704965
161,hilo,19.7297,-155.09,24.04000000000002,89,0,2.57,US,1680705068
162,guangyuan,32.442,105.823,10.580000000000041,62,100,5.98,CN,1680705141
163,te anau,-45.4167,167.7167,6.560000000000002,79,65,2.84,NZ,1680705141
164,ilulissat,69.2167,-51.1,-10.989999999999952,62,20,7.72,GL,1680705142
165,kot addu,30.4692,70.9671,20.210000000000036,65,78,5.46,PK,1680705143
166,sovetskiy,61.3614,63.5842,1.0900000000000318,100,100,1.24,RU,1680705144
167,bengkulu,-3.8004,102.2655,24.689999999999998,87,100,2.26,ID,1680705144
168,sabang,5.8933,95.3214,28.310000000000002,66,100,1.37,ID,1680705145
169,bethel,41.3712,-73.414,13.53000000000003,66,100,6.69,US,1680705146
170,tandalti,13.0167,31.8667,39.360000000000014,7,34,6.25,SD,1680705146
171,almaznyy,48.0448,40.045,15.930000000000007,52,98,5.0,RU,1680705148
172,chuy,-33.6971,-53.4616,22.54000000000002,52,33,5.51,UY,1680705148
173,honiara,-9.4333,159.95,25.810000000000002,89,99,0.2,SB,1680705149
174,los llanos de aridane,28.6585,-17.9182,20.860000000000014,70,20,5.66,ES,1680705149
175,ribeira grande,38.5167,-28.7,18.760000000000048,77,75,6.69,PT,1680705150
176,pallasovka,50.05,46.8833,17.230000000000018,44,44,2.2,RU,1680705151
177,yumen,40.2833,97.2,2.3799999999999955,20,0,3.67,CN,1680705151
178,kenai,60.5544,-151.2583,-0.9499999999999886,95,100,0.0,US,1680705152
179,antalya,36.7741,30.7178,20.33000000000004,60,40,5.14,TR,1680705022
180,labuhan,-6.8844,112.2051,26.49000000000001,80,100,1.25,ID,1680705153
181,trencianske teplice,48.9106,18.1669,7.150000000000034,41,74,1.34,SK,1680705154
182,talcahuano,-36.7167,-73.1167,12.82000000000005,88,100,3.09,CL,1680705155
183,selfoss,63.9331,-20.9971,8.360000000000014,72,100,3.37,IS,1680705155
184,quatre cocos,-20.2078,57.7625,27.27000000000004,75,27,2.18,MU,1680705156
185,chiungutwa,-10.8833,38.9833,23.82000000000005,94,63,1.92,TZ,1680705157
186,saint-pierre,-21.3393,55.4781,27.82000000000005,74,0,5.14,RE,1680705157
187,bolshaya glushitsa,50.2406,43.5908,15.600000000000023,51,100,2.64,RU,1680705158
188,sungaipenuh,-2.0833,101.3833,17.78000000000003,98,92,0.45,ID,1680705159
189,morondava,-20.2833,44.2833,27.110000000000014,76,22,5.98,MG,1680705159
190,cabo san lucas,22.8909,-109.9124,19.730000000000018,81,21,2.05,MX,1680705085
191,sinnamary,5.3833,-52.95,27.189999999999998,65,97,4.64,GF,1680705160
192,river falls,44.8614,-92.6238,1.8799999999999955,84,98,8.77,US,1680705161
193,torbat-e jam,35.244,60.6225,16.420000000000016,36,3,3.11,IR,1680705161
194,san lawrenz,36.0553,14.204,14.920000000000016,77,92,1.34,MT,1680705162
195,wukari,7.85,9.7833,41.47000000000003,18,77,0.45,NG,1680705163
196,oktyabrskoye,43.0645,44.7417,9.080000000000041,76,100,5.0,RU,1680705163
197,asyut,27.181,31.1837,28.360000000000014,10,0,6.28,EG,1680705164
198,kahului,20.8947,-156.47,23.80000000000001,77,0,4.02,US,1680705164
199,talnakh,69.4865,88.3972,-11.549999999999955,95,100,3.94,RU,1680705165
200,carutapera,-1.195,-46.02,27.08000000000004,83,93,2.67,BR,1680705165
201,virginia beach,36.8529,-75.978,25.590000000000032,77,40,3.6,US,1680704938
202,yerofey pavlovich,53.9667,121.9667,-11.649999999999977,91,38,1.84,RU,1680705166
203,rehoboth,-23.3167,17.0833,31.900000000000034,14,3,3.37,NA,1680705167
204,grindavik,63.8424,-22.4338,7.970000000000027,81,75,5.14,IS,1680705167
205,oyama,36.3,139.8,18.660000000000025,57,100,4.46,JP,1680705168
206,santa catarina da serra,39.6796,-8.6868,24.710000000000036,19,9,4.54,PT,1680705169
207,teya,60.3778,92.6267,-5.9599999999999795,91,100,3.99,RU,1680705169
208,shihezi,44.3,86.0333,8.420000000000016,21,0,2.88,CN,1680705170
209,kondopoga,62.2057,34.2614,5.82000000000005,70,7,2.2,RU,1680705170
210,pali,25.7667,73.3333,29.510000000000048,15,0,2.94,IN,1680705171
211,poum,-20.2333,164.0167,26.99000000000001,77,1,4.45,NC,1680705171
212,ondjiva,-17.0667,15.7333,30.58000000000004,29,100,3.91,AO,1680705172
213,fortuna,40.5982,-124.1573,3.8500000000000227,94,100,2.68,US,1680705173
214,ypsonas,34.6884,32.9574,18.54000000000002,68,20,8.23,CY,1680705173
215,semnan,35.5729,53.3971,18.74000000000001,26,3,2.59,IR,1680705174
216,esperance,-33.8667,121.9,18.49000000000001,71,83,9.89,AU,1680705174
217,channel-port aux basques,47.5702,-59.1367,-2.7999999999999545,68,68,13.73,CA,1680704930
218,crotone,39.0851,17.1178,10.970000000000027,81,40,2.57,IT,1680705175
219,khatanga,71.9667,102.5,-22.919999999999987,94,74,4.62,RU,1680705176
220,itaocara,-21.6692,-42.0761,29.0,58,44,1.16,BR,1680705177
221,adelaide,-34.9333,138.6,22.900000000000034,41,0,2.24,AU,1680705003
222,saint-augustin,51.226,-58.6502,-3.9699999999999704,55,17,7.51,CA,1680705178
223,tak,16.5833,98.8333,22.0,65,3,1.04,TH,1680705179
224,thompson,55.7435,-97.8558,-13.909999999999968,61,40,2.06,CA,1680705180
225,ossora,59.2353,163.0719,-9.759999999999991,94,100,2.19,RU,1680705180
226,kargil,34.5667,76.1,-5.529999999999973,75,86,1.39,IN,1680705181
227,mangan,27.5167,88.5333,17.54000000000002,77,96,2.15,IN,1680705182
228,torbay,47.6666,-52.7314,2.930000000000007,74,75,9.26,CA,1680705032
229,isla mujeres,21.2311,-86.731,27.03000000000003,73,94,7.44,MX,1680705184
230,dingzhou,38.5131,114.9956,12.060000000000002,79,100,3.25,CN,1680705185
231,la ronge,55.1001,-105.2842,-9.859999999999957,48,75,1.54,CA,1680705185
232,buraydah,26.326,43.975,30.25,10,0,2.83,SA,1680705186
233,goderich,43.7501,-81.7165,12.170000000000016,87,100,6.69,CA,1680705187
234,verkhnevilyuysk,63.4453,120.3167,-24.559999999999974,95,61,2.63,RU,1680705188
235,san cristobal,7.7669,-72.225,22.100000000000023,58,96,2.86,VE,1680705190
236,juneau,58.3019,-134.4197,3.4500000000000455,97,100,6.17,US,1680705007
